SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc,,
################################################################################################################,,,,,ls,,
,,,,,,,
# top,,,,,,,
# ttbar,,,,,,,
364194,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CFilterBVeto,71.995,0.9702,0.31883,1,,
364196,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV500_1000,15.051,0.9702,1,1,,
364197,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV1000_E_CMS,1.234,0.9702,1,1,,
,,,,,,,
################################################################################################################,,,,,,,
,,,,,,,
# Z+jets,,,,,,,
# Powheg,,,,,,,
361106, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee,1901.2,1.026,1,1,,
361107, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu,1901.2,1.026,1,1,,
361108, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau,1901.2,1.026,1,1,,
,,,,,,,
# Sherpa,,,,,,,
# e,,,,,,,
,,,,,,,
364116,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_BFilter,1982,0.9751,0.065194,1,,
364119,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_BFilter,110.53,0.9751,0.11587,1,,
364122,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_BFilter,40.68,0.9751,0.15352,1,,
364125,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_BFilter,8.6801,0.9751,0.17632,1,,
364114,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CVetoBVeto,1982.8,0.9751,0.8212,1,,
364117,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CVetoBVeto,110.71,0.9751,0.69362,1,,
364120,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CVetoBVeto,40.645,0.9751,0.61591,1,,
364123,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CVetoBVeto,8.6716,0.9751,0.56429,1,,
364126,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV500_1000,1.8089,0.9751,1,1,,
364127,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV1000_E_CMS,0.14881,0.9751,1,1,,
